INFO:root:Парсим CHAL 200 LED1400-830 HF RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED2000-830 HF RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED3000-830 HF RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED1400-830 HF RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED2000-830 HF RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED3000-830 HF RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED1400-830 HF E3 RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED1400-840 HF E3 RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED2000-830 HF E3 RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED3000-830 HF E3 RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED1400-830 HFIX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED1400-840 HFIX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED2000-830 HFIX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED2000-927-65 HFIX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED3000-840 HFIX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED1400-840 HFIX E3 RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED2000-830 HFIX E3 RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED3000-830 HFIX E3 RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 LED3000-840 HFIX E3 RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
