День недели;Дата;Температура;Состояние
Вчера;14 мая;+24;Ясно
Сегодня;15 мая;+31;Дождь
Вс;16 мая;+30;Облачно с прояснениями
Пн;17 мая;+32;Ясно
Вт;18 мая;+30;Облачно с прояснениями
Ср;19 мая;+18;Небольшой дождь
Чт;20 мая;+15;Малооблачно
Пт;21 мая;+23;Облачно с прояснениями
Сб;22 мая;+27;Облачно с прояснениями
Вс;23 мая;+29;Малооблачно
Пн;24 мая;+28;Облачно с прояснениями
Вт;25 мая;+16;Ясно
Ср;26 мая;+20;Облачно с прояснениями
Чт;27 мая;+19;Дождь
Пт;28 мая;+19;Ясно
Сб;29 мая;+18;Дождь
Вс;30 мая;+18;Облачно с прояснениями
Пн;31 мая;+18;Ясно
Вт;1 июня;+19;Облачно с прояснениями
Ср;2 июня;+21;Облачно с прояснениями
Чт;3 июня;+21;Облачно с прояснениями
Пт;4 июня;+22;Дождь
Сб;5 июня;+23;Облачно с прояснениями
Вс;6 июня;+22;Ясно
Пн;7 июня;+20;Ясно
Вт;8 июня;+19;Ясно
Ср;9 июня;+20;Облачно с прояснениями
Чт;10 июня;+19;Ясно
Пт;11 июня;+20;Облачно с прояснениями
Сб;12 июня;+21;Дождь
Вс;13 июня;+22;Дождь
