Плафон потолочный;Murano;602073;Murano 602073;;СтильКлассический; Высота, мм180; Диаметр, мм520; Масса, кг6,95; Количество ламп, шт7; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильКлассический; Высота, мм180; Диаметр, мм520; Масса, кг6,95; Количество ламп, шт7; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/602073
Бра;Murano;602523;Murano 602523;;СтильКлассический; Высота, мм130;None; Масса, кг1,75; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильКлассический; Высота, мм130; Масса, кг1,75; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/602523
Бра;Murano;602540;Murano 602540;;СтильКлассический; Высота, мм180;None; Масса, кг2,95; Количество ламп, шт4; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильКлассический; Высота, мм180; Масса, кг2,95; Количество ламп, шт4; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/602540
Бра;Murano;602543;Murano 602543;;СтильКлассический; Высота, мм180;None; Масса, кг2,95; Количество ламп, шт4; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильКлассический; Высота, мм180; Масса, кг2,95; Количество ламп, шт4; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/602543
Бра;Murano;602623;Murano 602623;;СтильКлассический; Высота, мм240;None; Масса, кг2,1; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильКлассический; Высота, мм240; Масса, кг2,1; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/602623
Бра;Ramo;690622;Ramo 690622;;СтильМодерн; Высота, мм320;None; Масса, кг1,45; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильМодерн; Высота, мм320; Масса, кг1,45; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/690622
Люстра подвесная;Melagro;695062;Melagro 695062;;СтильАрт-деко; Высота, мм570; Диаметр, мм690; Масса, кг11,5; Количество ламп, шт6; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм570; Диаметр, мм690; Масса, кг11,5; Количество ламп, шт6; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/695062
Люстра подвесная;Melagro;695082;Melagro 695082;;СтильАрт-деко; Высота, мм620; Диаметр, мм810; Масса, кг14,75; Количество ламп, шт8; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм620; Диаметр, мм810; Масса, кг14,75; Количество ламп, шт8; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/695082
Бра;Melagro;695612;Melagro 695612;;СтильАрт-деко; Высота, мм420;None; Масса, кг1,35; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм420; Масса, кг1,35; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/695612
Бра;Melagro;695622;Melagro 695622;;СтильАрт-деко; Высота, мм420;None; Масса, кг2,3; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм420; Масса, кг2,3; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/695622
Люстра подвесная;Rosata;696062;Rosata 696062;;СтильФлористический; Высота, мм590; Диаметр, мм700; Масса, кг14,85; Количество ламп, шт6; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20;"СтильФлористический; Высота, мм590; Диаметр, мм700; Масса, кг14,85; Количество ламп, шт6; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/696062
