Collection name;Contract Address;Edition number;Token id;Owner_id
IRIDESCENT Open Edition by SSX3LAU;0xc92ca2b5b8a996ad2a6fdd97c6d7ed038e61c725;FACES #2134/4934;14500012134;334642
Isolation Reflections by Nathan Riley;0xbb89a9ee61db459aa155faba9a6519c7ecbeb224;The Island #67/99;17100030067;116889
THE SECOND STORM by Justin Maller;0x9bd5ad493b8b81b568e26aa8d43ad2af073dc88b;BREATHE #9/10;25600050009;16915
SUPER TRAGIC by Superplastic x Matt Gondek;0xfdd1b65c81ae65e32ec4fe4e118081722cc69ef2;Sh*tstorm #10/50;40900060010;437849
YOU ONLY LOVED ME WHEN WE WERE HIGH COLLECTION Open Editions by Marius Sperlich;0xa55651b16153b82c910dd1fba9f7c573e0ac2662;„The Ecstasy of Crypto - Bitcoin Edition“ #285/478;14900010285;284092
Tranquility Open Edition by Andreas Wannerstedt;0x59be722aba100b488300cd65e4278be2fc783617;Eternal Zen #22/92;3500010022;5153
Happy 420 - Drawings by Daniel Allen Cohen;0x76998e1db15d6280114950a9d79b06b6475d38b4;Happy Hour Nifty + Physical Clock #27/142;42700030027;694301
friENDS FOREVER Open Editions by Kenny Beats x Drew Pulig;0x70fea167c65ed474959c475eeb2d2c8bbfee0bc9;EYES ON THE PRIZE #6/81;15300020006;40422
Rari Robberz by rhymezlikedimez ;0xbd49ce45830d9c5aab53e132517626aa28a34482;Rari Robberz #22/50;39900010022;342576
ANTIPODE// Open Edition by Zedd x Fvckrender;0xc6c1ba87b62a6ef1ac734da67a1ae061a3f6943c;INVALIDITY// #164/763;21300010164;31951
The Collision by Pak x Trevor Jones;0xe498ec1aff3c1460f6a818826443fd2a7817e775;Extrusion #361/457;2900020361;582019
The Narra Gallery Zodiac Series Pack Drawings;0x5fa098f1551b33c2b391bceefa0cb3fa8b6be8d5;Water Horse by timriopelle #33/35;7600080033;682519
Four Winds Open Edition by Blake Kathryn;0x011cd4cd1e49ab8be68d6caf658bae1ec07247be;Eternal Flame #226/319;10300010226;32386
Banned From The Internet Open Edition by Slime Sunday;0x397206a955a6a20d1688ede77a7c767a101a8cfc;UNISWAP #55/261;4800010055;337533
Foreign Family Collective - Liminal Spaces Open Edition;0x6f161c3cd58ece112c19a17e20d93733710b1c1e;Sanctum (Landis Tanaka) #52/70;23100020052;599626
Ghosts by David McLeod;0xc46b564ad3ce7da1576a138491ca173c87db7659;Bubble Boy #6/20;18100060006;419496
The Warrior's Day Off Open Editions by Buff Monster;0x1a257a5b37ac944def62b28cc5ec6c437178178c;The Triumphant Warrior;26000020022;37706
Decipher by Justin Roiland;0xe628ef7988227e58ff93d9898706aa106aa5608c;Dance or Die #574/1111;31600060574;114269
ARTificial Intelligence by Sophia the AI robot x  Andreas Bonaceto ;0xbe60d0a37ebde6f4ad22ceb311a28b3c53efe4e5;Little Singularity #1/30;32800040001;33057
BoardRooms Alotta Money Dart Packs;0x25395d908e35e6315e68c61489385650102d2a70;Alottaship Epic by Alotta Money #10/41;5700060010;295175
Out of Mind by David Garibaldi;0x11006fb0aa2a665a8f407f9c81bb89664650bdd5;Time Machine #18/25;39000010018;600112
The Title Open Edition by Pak;0xde6123d1e7b0483b16e745ac329750b170ef79d8;The Cheap #79/192;4600010079;4569
INSANE CRITTERS Open Edition by Zach Hadel and Michael Cusack;0x6af8859dde92b36766b6abdb74a68813f0dc8ce9;Agroid #28/128;11300020028;29482
TRAITORS open edition by XCOPY;0x8a939fd297fab7388d6e6c634eee3c863626be57;Afterburn #445/870;17600020445;8678
The Virals & The Lottery by Alex Solis;0xc20b249a2f7f36554097774031be55b2f5f3a58d;CHUNKY SPIDEY #101/200;37900040101;44083
Decipher by Justin Roiland;0xe628ef7988227e58ff93d9898706aa106aa5608c;Identity #286/444;31600050286;21462
Cloud10 by Diplo x FriendsWithYou;0x1d13888404efe5d6893cb31cfcfba80dfe142879;Happy Coin #274/500;32400050274;29185
One Dimension Away open edition by Anna Zhilyaeva;0x84d66a4fe8e7b164ccb2a97c4366a6c4603666bc;Satoshipolis #26/71;8000010026;323665
YOU ONLY LOVED ME WHEN WE WERE HIGH COLLECTION Open Editions by Marius Sperlich;0xa55651b16153b82c910dd1fba9f7c573e0ac2662;„The Ecstasy of Crypto 2 - Bitcoin Edition“ #194/538;14900020194;13506
The Endless Journey Open Editions by Kygo;0x3e88721fa41d5e102d54b4a04e550222efdd234d;Piano Palm Forest #27/47;17700020027;11576
Glass by SSX3LAU;0x1611064aa1e4406490fc09eb76bf801f5ee1079f;Glass #25/196;41900010025;41915
Decipher Open Editions by Justin Roiland;0x5af05b9716a58cba143bddaad541112d8953305e;Mister Hurty #267/353;15900030267;214654
The Endless Journey Open Editions by Kygo;0x3e88721fa41d5e102d54b4a04e550222efdd234d;Opening Doors #157/219;17700010157;416313
The Fungible Open Editions by Pak;0xc0cf5b82ae2352303b2ea02c3be88e23f2594171;Ten Cubes #245/247;22700060245;595624
The Best I Could Do Open Edition by Justin Roiland;0x43b557b1f923f1cb4ecd05ff3beac7b933bedb46;Meaningless Proposal #97/100;6300030097;256755
Acephalous Open Editions by The Weeknd x Strangeloop Studios;0x0c7d5d65024bf684bcd313e885a00b2057ba7918;Artifact 001 #832/1749;20600010832;5254
The Soundtrack To My Life Is A Drawing, Vol 1 Open Editions By rhymezlikedimez;0x32bf213df29fe5401d040c284c5a3d5f616b457f;The Slime Swing #446/536;12600010446;29563
IRIDESCENT Open Edition by SSX3LAU;0xc92ca2b5b8a996ad2a6fdd97c6d7ed038e61c725;FACES #1630/4934;14500011630;12131
Champions Series by Tommy Wilson;0x4f8d6d539ce6691c61d891d0f35d507a7f5f052a;Michael Jordan #3/6;2000060003;16994
Game Disease by Frenetik Void x Milton Sanz x Oxeegeno;0x83815c9d5790bddc2b83490d13412e6abb2bebbe;Mamabicho's Pilgrimage #43/100;35900020043;338567
Twisted Landscapes Open Edition by Nate Hill;0xc5b463f2c5abfa13afbd5965920db48c3701444e;You are here #33/77;4200010033;4654
TRAITORS open edition by XCOPY;0x8a939fd297fab7388d6e6c634eee3c863626be57;Afterburn #383/870;17600020383;27418
Gems of Awareness Benefit for Entheon;0xb66c7ca15af1f357c57294baf730abc77ff94940;Cubes (Allyson Grey) #3/11;40000060003;12914
Follow the White Rabbit Open Editions presented by Future Art;0x0a2cf2181fe8e22bff44d22e4feb88c480775f10;Puppy Love #70/87;20500040070;30366
GENESIS I by ENCODE Graphics;0x2dfdd6ebebaa9ea38f96f44d7cd2c860ed2700c7;SATOSH1 x Lady Liberty I. (Variant Coloring Process) #73/111;41600120073;85121
Machine Hallucinations – Mars : AI Data Paintings by Refik Anadol;0xed20bb1fcf2b6c16e7a3b61b61b2805a9636a2b6;Machine Hallucinations - Mars - B #38/48;6700020038;18175
Many Faces Open Editions by Disclosure & Friends;0x4ef001bdf967a34eb59a7b92e0a6171189d25edb;Metal Face - Bronze #332/453;25400030332;37157
kenny schachter art;0x43c03558096982049c2db900f2218df7ce9d6788;thieves operating #3/147;11200040003;339815
The Revolt by Six N. Five;0xe2edc9af70169d39a2def95d428cedcaaf30851f;The Pool #4/65;35200140004;27328
