Action;Time;ID;Token ID
listing;2021-05-17T05:44:51.062205Z;124005;23600030037
birth;2021-05-17T05:40:20.313889Z;124005;23600030037
offer;2021-05-17T01:00:45.027195Z;None;None
withdrawal;2021-05-16T21:33:53.552967Z;123954;23600030023
listing;2021-05-15T17:26:57.317960Z;124012;23600030040
listing;2021-05-14T23:10:33.833532Z;124161;23600030077
withdrawal;2021-05-13T07:16:19.316024Z;124120;23600030067
listing;2021-05-13T01:19:54.223156Z;124150;23600030075
nifty_transfer;2021-05-12T05:57:28.898057Z;124120;23600030067
withdrawal;2021-05-12T05:17:23.054204Z;124080;23600030056
sale;2021-05-11T22:44:41.665906Z;123874;23600030006
withdrawal;2021-05-10T18:55:25.338856Z;123913;23600030013
listing;2021-05-10T18:32:05.416039Z;124118;23600030066
offer;2021-05-10T18:13:23.257618Z;None;None
offer;2021-05-10T01:45:14.956588Z;None;None
offer;2021-05-10T01:39:46.176640Z;None;None
listing;2021-05-10T01:34:33.514809Z;123913;23600030013
listing;2021-05-09T16:52:44.745098Z;123845;23600030004
nifty_transfer;2021-05-09T13:39:06.277757Z;124060;23600030051
listing;2021-05-09T04:57:05.481105Z;124120;23600030067
offer;2021-05-07T22:28:26.393597Z;None;None
listing;2021-05-07T14:36:35.409648Z;123931;23600030016
offer;2021-05-06T03:08:48.725133Z;None;None
listing;2021-05-06T03:03:25.996997Z;124150;23600030075
listing;2021-05-05T23:00:29.052589Z;124150;23600030075
nifty_transfer;2021-05-04T17:52:41.677447Z;123977;23600030031
listing;2021-05-03T17:40:07.527008Z;124111;23600030065
offer;2021-05-03T03:27:17.458158Z;None;None
offer;2021-05-02T23:39:49.370046Z;None;None
sale;2021-05-02T23:39:21.043778Z;124127;23600030069
nifty_transfer;2021-05-02T22:51:03.724465Z;123836;23600030002
listing;2021-05-02T13:03:32.119250Z;124075;23600030053
listing;2021-05-01T02:44:05.754066Z;123913;23600030013
listing;2021-04-30T20:04:12.810151Z;124118;23600030066
offer;2021-04-30T20:02:28.321531Z;None;None
withdrawal;2021-04-30T04:08:24.394595Z;123937;23600030018
sale;2021-04-29T21:18:29.062724Z;123977;23600030031
listing;2021-04-29T00:31:37.003300Z;123977;23600030031
sale;2021-04-28T15:18:48.772304Z;124142;23600030072
listing;2021-04-28T06:18:17.482077Z;124111;23600030065
listing;2021-04-27T16:54:25.245339Z;124142;23600030072
listing;2021-04-27T15:38:43.390514Z;123977;23600030031
listing;2021-04-27T14:46:27.479294Z;124142;23600030072
listing;2021-04-25T23:32:28.674464Z;124266;23600030089
listing;2021-04-25T09:04:31.773597Z;123931;23600030016
listing;2021-04-25T02:09:58.413682Z;124158;23600030076
listing;2021-04-25T01:24:27.554377Z;123977;23600030031
listing;2021-04-24T21:25:59.261816Z;123977;23600030031
nifty_transfer;2021-04-24T02:14:35.404834Z;123849;23600030005
listing;2021-04-23T18:44:13.962516Z;123891;23600030009
listing;2021-04-23T03:08:46.263591Z;124142;23600030072
listing;2021-04-22T22:27:29.348907Z;123967;23600030026
listing;2021-04-22T02:32:38.557384Z;124088;23600030057
listing;2021-04-21T13:26:13.080494Z;123977;23600030031
listing;2021-04-21T11:27:16.103966Z;123931;23600030016
listing;2021-04-21T04:58:30.472114Z;123977;23600030031
listing;2021-04-21T04:20:42.267218Z;124158;23600030076
listing;2021-04-19T21:15:26.485868Z;123977;23600030031
offer;2021-04-19T13:51:54.970156Z;None;None
offer;2021-04-19T13:50:53.979992Z;None;None
listing;2021-04-19T07:03:56.036430Z;123931;23600030016
sale;2021-04-19T03:46:51.864981Z;123955;23600030024
listing;2021-04-18T23:05:22.074868Z;123955;23600030024
listing;2021-04-18T22:54:53.458518Z;123955;23600030024
listing;2021-04-18T22:35:05.884835Z;124266;23600030089
offer;2021-04-18T21:05:43.523955Z;None;None
offer;2021-04-18T19:01:04.108476Z;None;None
listing;2021-04-18T14:48:06.426468Z;124040;23600030045
listing;2021-04-18T03:57:50.037798Z;123955;23600030024
listing;2021-04-17T20:18:39.195067Z;123955;23600030024
offer;2021-04-17T20:01:23.354162Z;None;None
listing;2021-04-17T18:30:24.911446Z;124142;23600030072
listing;2021-04-17T16:50:57.795002Z;124040;23600030045
sale;2021-04-17T16:26:04.888455Z;124149;23600030074
listing;2021-04-17T15:45:29.137858Z;124149;23600030074
listing;2021-04-17T13:56:31.140038Z;124149;23600030074
listing;2021-04-17T12:50:24.243287Z;124149;23600030074
offer;2021-04-17T05:49:42.743859Z;None;None
