INFO:root:Program started at 2021-05-27 21:51:08.675269
INFO:root:Total pages 6609
INFO:root:Done page - 829
INFO:root:Done page - 1243
INFO:root:Done page - 415
INFO:root:Done page - 1
INFO:root:Done page - 830
INFO:root:Done page - 1244
INFO:root:Done page - 2
INFO:root:Done page - 416
INFO:root:Done page - 831
INFO:root:Done page - 1245
INFO:root:Done page - 3
INFO:root:Done page - 417
INFO:root:Done page - 832
INFO:root:Done page - 1246
INFO:root:Done page - 4
INFO:root:Done page - 418
INFO:root:Done page - 833
INFO:root:Done page - 5
INFO:root:Done page - 1247
INFO:root:Done page - 419
INFO:root:Done page - 834
INFO:root:Done page - 1248
INFO:root:Done page - 6
INFO:root:Done page - 420
INFO:root:Done page - 835
INFO:root:Done page - 421

INFO:root:Done page - 836
INFO:root:Done page - 8
INFO:root:Done page - 422
INFO:root:Done page - 1250
INFO:root:Done page - 837
INFO:root:Done page - 9
INFO:root:Done page - 423

INFO:root:Done page - 838
INFO:root:Done page - 10
INFO:root:Done page - 1252
INFO:root:Done page - 424
INFO:root:Done page - 839
INFO:root:Done page - 11
INFO:root:Done page - 1253
INFO:root:Done page - 425
INFO:root:Done page - 840
INFO:root:Done page - 1254
INFO:root:Done page - 12
INFO:root:Done page - 426
INFO:root:Done page - 841
INFO:root:Done page - 13
INFO:root:Done page - 1255
INFO:root:Done page - 427
INFO:root:Done page - 842
INFO:root:Done page - 14
INFO:root:Done page - 1256
INFO:root:Done page - 428
INFO:root:Done page - 843
INFO:root:Done page - 15
INFO:root:Done page - 1257
INFO:root:Done page - 429
INFO:root:Done page - 844
INFO:root:Done page - 16
INFO:root:Done page - 1258
INFO:root:Done page - 430
INFO:root:Done page - 845
INFO:root:Done page - 1259
INFO:root:Done page - 17
INFO:root:Done page - 431
INFO:root:Done page - 846
INFO:root:Done page - 1260
INFO:root:Done page - 18
INFO:root:Done page - 432
INFO:root:Done page - 847
INFO:root:Done page - 1261
INFO:root:Done page - 19
INFO:root:Done page - 433
INFO:root:Done page - 848
INFO:root:Done page - 1262
INFO:root:Done page - 20
INFO:root:Done page - 434
INFO:root:Done page - 849
INFO:root:Done page - 1263
INFO:root:Done page - 21
INFO:root:Done page - 435
INFO:root:Done page - 850
INFO:root:Done page - 1264
INFO:root:Done page - 22
INFO:root:Done page - 436
INFO:root:Done page - 851
INFO:root:Done page - 1265
INFO:root:Done page - 23
INFO:root:Done page - 437
INFO:root:Done page - 852
