Contract Address;Edition number;Token id;Owner_id
0x8863fbcb4b86d0b4813ca52a30b3f5f6b81dacf7;FLOOD #72/614;10200010072;34019
0xae6b9c363c5b6bbc6f613bd10c129b1e247f23b0;Blast #150/251;10000010150;4116
0x934fdb5084d448de4c61c960c5f806689ae720b1;'Quints Revenge 2.0' - Gold;15100010059;304001
0x0c7d5d65024bf684bcd313e885a00b2057ba7918;Artifact 001 #809/1749;20600010809;36104
0x9a101a06b10009913199b33487fb84ad8684a068;TIMEWAVE 0 #28/100;36500010028;547608
0x7f89453427b955e6365efb2eaa9d3b7f1e22fc91;Holoinstagram Classic by Jon Burgerman #53/61;5800080053;56275
0xab797755783878dd704021f0f77072e9121768f6;Pez #108/109;16300040108;38651
0x20c9a5adf56f530ea60f2609851d8848886993a2;Fading Forward #109/547;11500020109;39963
0x8ae06a29a816580cbd069e460dd57c6c964bb3da;Forever Mamba #335/429;7500010335;21514
0xc92ca2b5b8a996ad2a6fdd97c6d7ed038e61c725;FACES #2217/4934;14500012217;36510
0xc46b564ad3ce7da1576a138491ca173c87db7659;Hidden Level #26/33;18100070026;283776
0x0c7d5d65024bf684bcd313e885a00b2057ba7918;Artifact 001 #893/1749;20600010893;340292
0x41113bce4659cb4912ed61d48154839f75131d7a;Le Anime #166/1573;12800010166;30868
0x01a7abd1e371d7a43ebbc1f17cd2660f1d77287b;Rusty  #72/190;7600010072;16549
0xe9be55ffedb6c2a2f3f8eac31c60d7f122f79958;The Bitcoin Angel (Open Edition) #2994/4157;11400012994;7468
0xe3d9a4a1a7c9799dd586121dde1515b1aa709dd1;Kranky: Clean AF Jungle Green;17000020013;334221
0xcd136e30b316837c190241e838639c619516fdf9;Karma Chameleon #337/1239;15500010337;37472
0x3e88721fa41d5e102d54b4a04e550222efdd234d;Opening Doors #148/219;17700010148;600260
0x01a7abd1e371d7a43ebbc1f17cd2660f1d77287b;Rusty  #70/190;7600010070;52424
0xbfd1708302137109175907ba0bfba833c43c4c3f;Too Big To FAILE #129/169;19300040129;312074
0x7e89e7a96735a10b01a36b6455c745749df304a6;ROKO'S BASILISK;14600020005;36510
0xc46b564ad3ce7da1576a138491ca173c87db7659;Relic #20/35;18100020020;374183
0xe9be55ffedb6c2a2f3f8eac31c60d7f122f79958;The Bitcoin Angel (Open Edition) #69/4157;11400010069;12721
0xafae97dc068735bf4592d1b8a731080cc0015691;Remnant 001 #260/500;37100020260;541696
0x32bf213df29fe5401d040c284c5a3d5f616b457f;Franchise Carousel #164/636;12600020164;32356
0xa45e284b9330442c134911abf8c0d291bb763047;Luminance #4/100;32100020004;311599
0xe84737fa86b8790bee352ad3d86f8e37f536f458;the dissenters;15800030106;46759
0xb59da34c9e2bc12b327d3116c46b3823ef11343d;Little Red Riding Hood #211/485;12200010211;42335
0x40964589c16aa1a4263517d88743e5ee550c4d0f;Welcome to Aku World: Chapter II #50/706;24200010050;38577
0x147f5bf799b26f304dca874f1b79ee57eea79716;Axyl #10/20;4500040010;5039
0xe84737fa86b8790bee352ad3d86f8e37f536f458;odontophobia;15800020072;119615
0xea70a9e62057dd7629e7c9ca7500290544d13e56;TheGreatEscape #121/304;14200010121;17214
0x8224761320780f9c8022dddcbe2e4dcbaffbad3c;JANKYFAM: Janky Edition #3/5;32700030003;32509
0x374e4a05e665f25b6c996ec2eeae05c792359821;Ethereum Delerium #10/25;28100110010;53826
0x9499268f6f51a44f3b2a83d521020a3ee16d283b;The Boots #147/200;25000020147;5590
0x4334092242deea8b5d7fa025324b6509c7778846;Twerk Skeleton 2 #3/25;3000070003;4569
0x0944d47a8bd9325b416cd79d5f2137f28bbe7763;Still Burning *Digitized* #125/200;42800010125;442873
0xd46cd035e8a68743aeb09572dc1446d46db6bcdd;Dansby Swanson 'OFF-BRAND' #001 - Rare #3/3;1400010003;39514
0xc92ca2b5b8a996ad2a6fdd97c6d7ed038e61c725;FACES #4736/4934;14500014736;694137
0x11ab0243c57c6c1b39f2908aaebaed7ccf351491;City Creature #1/43;15000060001;30214
0xbb89a9ee61db459aa155faba9a6519c7ecbeb224;The Reflection #63/271;17100010063;521810
0x47883e8eee2ee933cb21745f8e3c649fc955b5a8;Dj Peyote #24/25;48700040024;198149
0x9922da2fb5b729371bacd6ccec80597128545393;Round 6 #11/20;21900060011;8115
0x59e0aadb79fe7a00fc4f1564485702804676b918;Green Parrot Island  #760/777;30900020760;211536
0xc0cf5b82ae2352303b2ea02c3be88e23f2594171;A Cube #1007/5148;22700081007;274265
0xdad9dc2d497fbf0d27837700c0a7ba6b8c8f2b30;H4CK3R #12/50;49100040012;548152
0xb59da34c9e2bc12b327d3116c46b3823ef11343d;Little Red Riding Hood #160/485;12200010160;13634
0xeaed5122233fbec169d1669e53b3b4e090d9e029;Satoshi The Creator Vs. The Metamachines #94/100;6300040094;8948
0xc633787348f652611c3166209d1fc4cd82b30ada;FEWO DRIP #88/300;27400020088;17876
0x525ce0d953e9e29b9af0bb1c1a47ca100a387d93;SLIM SHADY;26200030235;624153
0xc6c1ba87b62a6ef1ac734da67a1ae061a3f6943c;INVALIDITY// #106/763;21300010106;118138
0x131d3a4b75c6600ae32fa30bc5fcb5d613027dca;Ring of Fortune #14/20;4200050014;16131
0x032dad5d1d9f3fba88046b08c2676a0daf96b745;It's Basically Tree Guy #16/100;20600090016;4957
0x78fcad8425ee130e7a7c45a26310bda69a4163fd;Samurai: Regular #19/25;200060019;1308
0x84d66a4fe8e7b164ccb2a97c4366a6c4603666bc;Etherexpansion #28/53;8000020028;17098
0xeb005502f6b731a5a9a5e8317dedae16a31c1456;HooDoo Janky (Dark Edition) #14/37;6000040014;119722
0x268428b34f991c0a54f5a8a26ec8a9021fa91fc8;99 Cent Salvation #104/441;11700010104;186314
0x4629122c04eacc2ca48bda4a92aadcaee5d15389;Covid Heroes - Ryan Selkis #32/50;1300030032;18981
0x8863fbcb4b86d0b4813ca52a30b3f5f6b81dacf7;CLOSE #265/392;10200020265;16772
0x7ce035d635f868108a70ca470b5148c9f5cd53c0;The Rebirth  #165/200;41200020165;513826
